PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.288093,0.180214,0.187174,0,0,0,0.000248571,0.34427,4,1,2.09843,0.012823,0,1.61589,0.337464,0.0321057,0
0.281495,0.164513,0.176742,0,0,0,0.000692201,0.376557,4,1,2.11814,0.0119621,0,1.63917,0.324183,0.0299544,0
0.277108,0.131603,0.226135,0,0,0,0.000926784,0.364226,4,1,1.79796,0.012301,0,1.40449,0.36686,0.0409651,0
0.264511,0.16336,0.174626,0,0,0,0.0156747,0.381827,3,1,2.12956,0.0130189,0,1.64075,0.316557,0.0306117,0
0.264048,0.168573,0.18001,0,0,0,0.0154152,0.371954,3,1,2.12282,0.0126243,0,1.63351,0.317043,0.0347261,0
0.261911,0.162429,0.193532,0,0,0,0.0103678,0.37176,3,1,2.11503,0.0177718,0,1.63749,0.326295,0.0316949,0
0.260672,0.152589,0.229791,0,0,0,0.0145322,0.342416,3,1,1.78747,0.0120653,0,1.39744,0.366572,0.0395833,0
0.251418,0.140123,0.208885,0,0,0,0.0200851,0.37949,3,1,2.10113,0.0233929,0,1.63805,0.438571,0.0314403,0
0.251379,0.168658,0.189338,0,0,0,0.0170037,0.373621,4,1,2.11489,0.0131485,0,1.63575,0.342484,0.0334974,0
0.247332,0.178563,0.189945,0,0,0,0.0161252,0.368034,4,1,2.10363,0.0124451,0,1.62372,0.322932,0.0306205,0
0.236364,0.134091,0.170455,0,0,0,0,0.459091,4,1,2.11818,0.0224138,0,1.60862,0.320259,0.0572565,0
0.234634,0.152086,0.201436,0,0,0,0.00538358,0.40646,4,1,2.1467,0.0181374,0,1.66934,0.329264,0.0326376,0
0.233639,0.30761,0.260499,0,0,0,0.000213174,0.198039,4,1,2.01343,0.0111055,0,1.58943,0.370352,0.0273301,0
0.233496,0.149242,0.216799,0,0,0,0.033907,0.366555,4,1,2.24197,0.0252964,0,1.7251,0.434914,0.0329722,0
0.229423,0.148297,0.219962,0,0,0,0.0333491,0.368969,4,1,2.25615,0.0234218,0,1.74565,0.440378,0.0311994,0
0.228167,0.177063,0.206814,0,0,0,0.0525432,0.335413,3,1,1.86132,0.0118628,0,1.43818,0.346895,0.0307203,0
0.221422,0.216922,0.271827,0,0,0,0.0126013,0.277228,4,1,1.74527,0.0120653,0,1.37686,0.387509,0.0386918,0
0.220997,0.163211,0.218791,0,0,0,0.0608734,0.336127,4,1,1.85355,0.0113402,0,1.44433,0.354811,0.0325743,0
0.220695,0.237672,0.32498,0,0,0,0.0202102,0.196443,4,1,1.79709,0.0109677,0,1.43484,0.312387,0.034932,0
0.213144,0.132771,0.215808,0,0,0,0.0341918,0.404085,4,1,2.13544,0.0218371,0,1.66724,0.441363,0.0328835,0
0.212128,0.155017,0.222933,0,0,0,0.0388093,0.371114,4,1,2.10232,0.0219268,0,1.64624,0.447053,0.0287519,0
0.211971,0.344284,0.263276,0,0,0,0.0252025,0.155266,4,1,1.76553,0.0117021,0,1.39149,0.385106,0.0323769,0
0.211543,0.128638,0.209831,0,0,0,0.0736121,0.376376,4,1,2.13182,0.0240941,0,1.65396,0.430405,0.0317305,0
0.211323,0.177929,0.201931,0,0,0,0.0318289,0.376989,4,1,2.26976,0.0132805,0,1.72468,0.318781,0.033529,0
0.211075,0.211075,0.194627,0,0,0,0.0285088,0.354715,4,1,2.22862,0.0149564,0,1.68924,0.321666,0.0379437,0
0.210904,0.175266,0.194947,0,0,0,0.0276596,0.391223,4,1,2.27766,0.0137042,0,1.72612,0.320838,0.0337505,0
0.210848,0.193566,0.199681,0,0,0,0.0308429,0.365062,4,1,2.26695,0.0135135,0,1.71985,0.317517,0.0342432,0
0.207862,0.191418,0.210432,0,0,0,0.0441932,0.346095,4,1,2.25797,0.0129184,0,1.7203,0.326972,0.0317215,0
0.203356,0.174806,0.206361,0,0,0,0.0380666,0.37741,4,1,2.27724,0.0125954,0,1.7355,0.320706,0.0324554,0
0.2,0.0923077,0.205128,0,0,0,0.0769231,0.425641,3,1,2.06154,0.0310078,0,1.56202,0.421189,0.0903541,0
0.19895,0.181627,0.196325,0,0,0,0.0304462,0.392651,4,1,2.28346,0.0147234,0,1.7314,0.315758,0.0373852,0
0.197762,0.156388,0.208951,0,0,0,0.000260213,0.436638,4,1,2.31122,0.0251984,0,1.7625,0.423214,0.0336771,0
0.197755,0.157168,0.220207,0,0,0,0.00259067,0.42228,3,1,2.10967,0.0216802,0,1.65583,0.436089,0.0374589,0
0.197326,0.185561,0.195722,0,0,0,0.028877,0.392513,4,1,2.27166,0.0158023,0,1.72164,0.316248,0.0380949,0
0.189362,0.104255,0.219149,0,0,0,0.0595745,0.42766,3,1,2.07447,0.0245902,0,1.6,0.432787,0.0598176,0
0.188862,0.0871671,0.169492,0,0,0,0,0.554479,4,1,2.14044,0.0291971,0,1.61496,0.412409,0.060443,0
0.187828,0.18958,0.235989,0,0,0,0.0144483,0.372154,4,1,2.09501,0.021978,0,1.64354,0.445169,0.0313319,0
0.185872,0.404696,0.334057,0,0,0,0,0.0753749,4,1,1.66851,0.0103668,0,1.3488,0.334928,0.0258401,0
0.185694,0.0906031,0.128471,0,0,0,0.0151473,0.580084,4,1,2.24937,0.0270499,0,1.69484,0.399408,0.0357633,0
0.182872,0.15063,0.230227,0,0,0,0.0216625,0.41461,4,1,2.29068,0.0251159,0,1.75734,0.431994,0.0361877,0
0.181135,0.152037,0.225994,0,0,0,0.0332202,0.407614,4,1,2.28928,0.0237117,0,1.76288,0.437951,0.0313958,0
0.180315,0.151124,0.22294,0,0,0,0.0632911,0.38233,4,1,2.28416,0.0253064,0,1.74832,0.423817,0.0340599,0
0.180297,0,0.187732,0,0,0,0,0.63197,3,1,1.89219,0.0115523,0,1.4704,0.355325,0.0333016,0
0.179856,0.141829,0.231244,0,0,0,0.0390545,0.408016,4,1,2.27235,0.0259638,0,1.74036,0.430894,0.0441553,0
0.174112,0.0538373,0.111111,0,0,0,0,0.660939,3,1,2.19817,0.0267011,0,1.65375,0.292851,0.0466383,0
0.158734,0.27693,0.262127,0,0,0,0.0594398,0.242769,4,1,2.08107,0.022707,0,1.63401,0.347354,0.0296198,0
0.158698,0,0.264496,0,0,0,0,0.576806,4,1,1.73957,0.0127389,0,1.36226,0.369029,0.0434493,0
0.158607,0.124758,0.246615,0,0,0,0.0599613,0.410058,4,1,2.20309,0.0239342,0,1.70456,0.444528,0.0418542,0
0.155854,0.15327,0.22564,0,0,0,0.0922719,0.372965,4,1,2.29362,0.0253415,0,1.75708,0.424272,0.0330721,0
0.150876,0.194771,0.230511,0,0,0,0.0220676,0.401775,4,1,2.23747,0.023536,0,1.72887,0.436929,0.0311411,0
0.150451,0,0.155672,0,0,0,0.000474608,0.693403,4,1,2.09302,0.0117002,0,1.6128,0.343327,0.0338688,0
0.15013,0.249586,0.258821,0,0,0,0.030547,0.310916,4,1,2.16244,0.0185321,0,1.67578,0.333624,0.030784,0
0.149988,0.194357,0.234145,0,0,0,0.0147094,0.4068,4,1,2.27466,0.0238184,0,1.75549,0.434934,0.0312988,0
0.14843,0.0815603,0.202128,0,0,0,0.0536981,0.514184,4,1,1.88576,0.0124514,0,1.44864,0.329815,0.0321563,0
