PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0.25,0,0.217203,0,0,0,0.00185644,0.530941,4,1,1.79579,0.068617,1,1.54415,0.556383,0.183004,1
0.248772,0,0.219287,0,0,0,0.0012285,0.530713,4,1,1.78747,0.0681818,1,1.53858,0.557963,0.181739,1
0.248772,0,0.219287,0,0,0,0.0012285,0.530713,4,1,1.78624,0.0681818,1,1.53753,0.557963,0.181739,1
0.248619,0.000613874,0.219767,0,0,0,0.00122775,0.529773,4,1,1.78576,0.0681458,1,1.53724,0.558197,0.18163,1
0.24831,0,0.219422,0,0,0,0.00184388,0.530424,4,1,1.78795,0.0682179,1,1.53887,0.557906,0.181841,1
0.24831,0.000614628,0.219422,0,0,0,0.00184388,0.529809,4,1,1.78734,0.0682179,1,1.53834,0.558082,0.181839,1
0.248293,0,0.216015,0,0,0,0.00248293,0.533209,4,1,1.80074,0.0693333,1,1.54773,0.555556,0.183511,1
0.248134,0,0.216418,0,0,0,0.00186567,0.533582,4,1,1.81032,0.0694444,1,1.55556,0.554487,0.183823,1
0.247847,0,0.218327,0,0,0,0.00246002,0.531365,4,1,1.78721,0.068254,1,1.5381,0.557496,0.181946,1
0.244747,0,0.217553,0,0,0,0.00370828,0.533993,4,1,1.79604,0.0690755,1,1.54463,0.556146,0.182771,1
0.236641,0,0.208651,0,0,0,0.00254453,0.552163,4,1,1.81934,0.0777538,1,1.54644,0.539237,0.230389,1
0.231579,0,0.205263,0,0,0,0.00526316,0.557895,4,1,1.90263,0.08,1,1.60889,0.53037,0.236955,1
0.222926,0,0.214693,0,0,0,0.0272324,0.535149,4,1,1.84294,0.0699946,1,1.57949,0.553084,0.186873,1
0.202046,0,0.215473,0,0,0,0.0383632,0.544118,4,1,1.86509,0.0705689,1,1.59628,0.552516,0.188495,1
0.195636,0,0.10459,0,0,0,0.00225734,0.697517,4,1,2.34763,0.125549,1,1.9592,0.483992,0.216451,1
0.194757,0,0.106367,0,0,0,0.00224719,0.696629,4,1,2.33633,0.125078,1,1.95122,0.485303,0.215597,1
0.19332,0,0.215157,0,0,0,0.0436737,0.547848,4,1,1.87797,0.0713893,1,1.60626,0.55043,0.18919,1
0.146693,0.185331,0.171578,0,0,0,0.0275049,0.468893,4,1,1.84479,0.0720268,1,1.57342,0.542341,0.189806,1
0.146389,0,0.173064,0,0,0,0.119063,0.561483,4,1,1.83279,0.0716269,1,1.56469,0.543402,0.191077,1
0.122222,0,0.191667,0,0,0,0.116667,0.569444,4,1,1.93889,0.0767442,1,1.62558,0.51938,0.246587,1
0.109478,0.102866,0.124173,0,0,0,0.00146951,0.662013,4,1,2.16605,0.114462,1,1.81477,0.489436,0.209294,1
0.109478,0,0.0727406,0,0,0,0.00146951,0.816312,4,1,2.37179,0.157538,1,1.98708,0.453744,0.211631,1
0.108904,0.103753,0.12362,0,0,0,0.00220751,0.661516,4,1,2.16703,0.113986,1,1.81516,0.489423,0.209554,1
0.108904,0,0.0721118,0,0,0,0.00220751,0.816777,4,1,2.3738,0.157733,1,1.98829,0.453481,0.211926,1
0.108088,0,0.0713235,0,0,0,0.00367647,0.816912,4,1,2.37206,0.157635,1,1.98707,0.453407,0.211784,1
0.102222,0,0.0733333,0,0,0,0.00148148,0.822963,4,1,2.39556,0.158612,1,2.00434,0.452706,0.213176,1
0.101227,0,0.0674847,0,0,0,0.00920245,0.822086,4,1,2.38344,0.161616,1,1.96465,0.440236,0.261569,1
0.0923077,0.155692,0.219077,0,0,0,0.00246154,0.530462,4,1,1.78831,0.0682901,1,1.53891,0.557791,0.177928,1
0.0882135,0.105263,0.12083,0,0,0,0.0222387,0.663454,4,1,2.20978,0.114693,1,1.84873,0.486257,0.210995,1
0.0865672,0,0.0895522,0,0,0,0.00895522,0.814925,4,1,2.30746,0.153086,1,1.91111,0.449383,0.256162,1
