PercentageTypeGateAND,PercentageTypeGateOR,PercentageTypeGateNOT,PercentageTypeGateXOR,PercentageTypeGateXNOR,PercentageTypeGateBUF,PercentageTypeGateNOR,PercentageTypeGateNAND,MaxInputDegree,MinInputDegree,MiddleInputDegree,MaxOutputDegree,MinOutputDegree,MiddleOutputDegree,PercentageMiddleDepth,PercentageMiddleSignVar,isMultiplexer
0,0,0.390244,0,0,0,0.287805,0.321951,4,1,2.25366,0.0103093,1,1.59107,0.424399,0.327907,0
0.0258621,0.00862069,0.0862069,0,0,0,0.415948,0.463362,4,1,3.32974,0.0565657,1,3.12323,0.391919,0.580506,0
0.0185185,0.00589226,0.0664983,0,0,0,0.445286,0.463805,4,1,3.30556,0.0222399,1,3.11994,0.391581,0.527232,0
0.00756757,0.00486486,0.0540541,0,0,0,0.456757,0.476757,4,1,3.47838,0.0223261,1,3.34164,0.388197,0.53298,0
0.0455975,0.00314465,0.0833333,0,0,0,0.40566,0.462264,4,1,3.34119,0.0430267,1,3.1543,0.382789,0.559997,0
0.00628535,0.00125707,0.0653677,0,0,0,0.451917,0.475173,4,1,3.33941,0.0184634,1,3.16498,0.383165,0.524563,0
0.0502793,0.00558659,0.0931099,0,0,0,0.391061,0.459963,4,1,3.26816,0.0507881,1,3.07531,0.392294,0.57049,0
0.102459,0.0184426,0.0717213,0,0,0,0.372951,0.434426,4,1,3.2582,0.0805501,1,3.12574,0.421087,0.654274,0
0,0.0023753,0.133017,0,0,0,0.408551,0.456057,4,1,3.02138,0.0319149,1,2.70851,0.370922,0.508556,0
0.00627615,0,0.08159,0,0,0,0.439331,0.472803,4,1,3.32427,0.0254403,1,3.11057,0.376386,0.520287,0
0.0235064,0.00391773,0.0577865,0,0,0,0.444662,0.470127,4,1,3.43879,0.0326493,1,3.27612,0.392724,0.552227,0
0,0,0.285714,0,0,0,0.339768,0.374517,4,1,2.48263,0.014881,1,1.91667,0.314484,0.390112,0
0.0103093,0,0.151203,0,0,0,0.381443,0.457045,4,1,3.06873,0.0464396,1,2.7678,0.374613,0.525021,0
0.0172745,0.00287908,0.0710173,0,0,0,0.433781,0.475048,4,1,3.44626,0.0301095,1,3.27737,0.388078,0.542902,0
0.0015949,0.00318979,0.118022,0,0,0,0.422648,0.454545,4,1,3.00319,0.0245665,1,2.72254,0.380058,0.501558,0
0.027027,0.108108,0.243243,0,0,0,0.202703,0.418919,4,1,2.60811,0.2,1,2.425,0.479167,0.813063,0
0.0184502,0,0.151292,0,0,0,0.387454,0.442804,4,1,2.90037,0.0358306,1,2.56352,0.373507,0.507278,0
0.00309406,0.00247525,0.0680693,0,0,0,0.454827,0.471535,4,1,3.26856,0.0163265,1,3.08047,0.383868,0.516614,0
0.0365359,0.00270636,0.0730717,0,0,0,0.427605,0.460081,4,1,3.34641,0.0356234,1,3.14758,0.382952,0.545533,0
0.0750605,0.0217918,0.116223,0,0,0,0.343826,0.443099,4,1,3.16949,0.0762125,1,3.0254,0.424942,0.637167,0
0.000814332,0,0.0920195,0,0,0,0.442182,0.464984,4,1,3.07329,0.015861,1,2.85121,0.381923,0.504818,0
0.00723589,0.00217077,0.0701881,0,0,0,0.447902,0.472504,4,1,3.3191,0.0197682,1,3.12747,0.384685,0.522831,0
0.014095,0.0037092,0.0667656,0,0,0,0.448071,0.467359,4,1,3.31528,0.0196216,1,3.13245,0.385658,0.525091,0
0.0113852,0.0113852,0.0910816,0,0,0,0.425047,0.461101,4,1,3.29222,0.0424028,1,3.06714,0.387515,0.5461,0
0.0321932,0.00402414,0.108652,0,0,0,0.404427,0.450704,4,1,3.17103,0.0372439,1,2.93669,0.382371,0.539638,0
0.0395137,0.00759878,0.0851064,0,0,0,0.416413,0.451368,4,1,3.269,0.0355619,1,3.06117,0.389284,0.548936,0
0.0269017,0.00278293,0.067718,0,0,0,0.429499,0.473098,4,1,3.41744,0.0318021,1,3.2553,0.385748,0.548083,0
0.0494118,0.00470588,0.101176,0,0,0,0.388235,0.456471,4,1,3.32941,0.0688889,1,3.14667,0.398519,0.597176,0
0.00487805,0.00162602,0.156098,0,0,0,0.40813,0.429268,4,1,2.74959,0.0141643,1,2.3966,0.367328,0.456928,0
0.00827815,0,0.115894,0,0,0,0.418874,0.456954,4,1,3.02483,0.0240964,1,2.75301,0.386546,0.504167,0
0.0100739,0.00201478,0.0611148,0,0,0,0.45131,0.475487,4,1,3.40698,0.0230032,1,3.24217,0.389563,0.529656,0
0.00218818,0.00218818,0.105033,0,0,0,0.432166,0.458425,4,1,3.02188,0.018,1,2.763,0.383,0.501438,0
0,0.00431034,0.206897,0,0,0,0.375,0.413793,4,1,2.65948,0.0289855,1,2.23913,0.525362,0.453272,0
0.0336283,0.00884956,0.0548673,0,0,0,0.440708,0.461947,4,1,3.44602,0.0382328,1,3.30926,0.389125,0.568537,0
0.00974026,0.0021645,0.0833333,0,0,0,0.437229,0.467532,4,1,3.2868,0.0262892,1,3.07179,0.386586,0.527456,0
0.025227,0.00403633,0.073663,0,0,0,0.435923,0.46115,4,1,3.31584,0.0266413,1,3.1275,0.385982,0.534578,0
0.0170052,0.000472367,0.0491261,0,0,0,0.455361,0.478035,4,1,3.50165,0.0213345,1,3.36541,0.385837,0.532483,0
